xp,yp,zp,xv,yv,zv,xd,yd,zd,spd,t
-3100,-900,7700,150,-150,-50,1,0,0,217.94494717703367,6
-3092.5,-907.5,7697.5,150,-150,-50,1,0,0,217.94494717703367,6.050000000000001
-3085,-915,7695,150,-150,-50,1,0,0,217.94494717703367,6.1000000000000005
-3077.5,-922.5,7692.5,150,-150,-50,1,0,0,217.94494717703367,6.15
-3070,-930,7690,150,-150,-50,1,0,0,217.94494717703367,6.2
-3062.5,-937.5,7687.5,150,-150,-50,1,0,0,217.94494717703367,6.25
-3055,-945,7685,150,-150,-50,1,0,0,217.94494717703367,6.300000000000001
-3047.5,-952.5,7682.5,150,-150,-50,1,0,0,217.94494717703367,6.3500000000000005
-3040,-960,7680,150,-150,-50,1,0,0,217.94494717703367,6.4
-3032.5,-967.5,7677.5,150,-150,-50,1,0,0,217.94494717703367,6.45
-3025,-975,7675,150,-150,-50,1,0,0,217.94494717703367,6.5
-3017.5,-982.5,7672.5,150,-150,-50,1,0,0,217.94494717703367,6.550000000000001
-3010,-990,7670,150,-150,-50,1,0,0,217.94494717703367,6.6000000000000005
-3002.5,-997.5,7667.5,150,-150,-50,1,0,0,217.94494717703367,6.65
-2995,-1005,7665,150,-150,-50,1,0,0,217.94494717703367,6.7
-2987.5,-1012.5,7662.5,150,-150,-50,1,0,0,217.94494717703367,6.75
-2980,-1020,7660,150,-150,-50,1,0,0,217.94494717703367,6.800000000000001
-2972.5,-1027.5,7657.5,150,-150,-50,1,0,0,217.94494717703367,6.8500000000000005
-2965,-1035,7655,150,-150,-50,1,0,0,217.94494717703367,6.9
-2957.5,-1042.5,7652.5,150,-150,-50,1,0,0,217.94494717703367,6.95
-2950,-1050,7650,150,-150,-50,1,0,0,217.94494717703367,7
-2942.5,-1057.5,7647.5,150,-150,-50,1,0,0,217.94494717703367,7.050000000000001
-2935,-1065,7645,150,-150,-50,1,0,0,217.94494717703367,7.1000000000000005
-2927.5,-1072.5,7642.5,150,-150,-50,1,0,0,217.94494717703367,7.15
-2920,-1080,7640,150,-150,-50,1,0,0,217.94494717703367,7.2
-2912.5,-1087.5,7637.5,150,-150,-50,1,0,0,217.94494717703367,7.25
-2905,-1095,7635,150,-150,-50,1,0,0,217.94494717703367,7.300000000000001
-2897.5,-1102.5,7632.5,150,-150,-50,1,0,0,217.94494717703367,7.3500000000000005
-2890,-1110,7630,150,-150,-50,1,0,0,217.94494717703367,7.4
-2882.5,-1117.5,7627.5,150,-150,-50,1,0,0,217.94494717703367,7.45
-2875,-1125,7625,150,-150,-50,1,0,0,217.94494717703367,7.5
-2867.5,-1132.5,7622.5,150,-150,-50,1,0,0,217.94494717703367,7.550000000000001
-2860,-1140,7620,150,-150,-50,1,0,0,217.94494717703367,7.6000000000000005
-2852.5,-1147.5,7617.5,150,-150,-50,1,0,0,217.94494717703367,7.65
-2845,-1155,7615,150,-150,-50,1,0,0,217.94494717703367,7.7
-2837.5,-1162.5,7612.5,150,-150,-50,1,0,0,217.94494717703367,7.75
-2830,-1170,7610,150,-150,-50,1,0,0,217.94494717703367,7.800000000000001
-2822.5,-1177.5,7607.5,150,-150,-50,1,0,0,217.94494717703367,7.8500000000000005
-2815,-1185,7605,150,-150,-50,1,0,0,217.94494717703367,7.9
-2807.5,-1192.5,7602.5,150,-150,-50,1,0,0,217.94494717703367,7.95
-2800,-1200,7600,150,-150,-50,1,0,0,217.94494717703367,8
-2792.5,-1207.5,7597.5,150,-150,-50,1,0,0,217.94494717703367,8.05
-2785,-1215,7595,150,-150,-50,1,0,0,217.94494717703367,8.1
-2777.5,-1222.5,7592.5,150,-150,-50,1,0,0,217.94494717703367,8.15
-2770,-1230,7590,150,-150,-50,1,0,0,217.94494717703367,8.200000000000001
-2762.5,-1237.5,7587.5,150,-150,-50,1,0,0,217.94494717703367,8.25
-2755,-1245,7585,150,-150,-50,1,0,0,217.94494717703367,8.3
-2747.5,-1252.5,7582.5,150,-150,-50,1,0,0,217.94494717703367,8.35
-2740,-1260,7580,150,-150,-50,1,0,0,217.94494717703367,8.4
-2732.5,-1267.5,7577.5,150,-150,-50,1,0,0,217.94494717703367,8.450000000000001
-2725,-1275,7575,150,-150,-50,1,0,0,217.94494717703367,8.5
-2717.5,-1282.5,7572.5,150,-150,-50,1,0,0,217.94494717703367,8.55
-2710,-1290,7570,150,-150,-50,1,0,0,217.94494717703367,8.6
-2702.5,-1297.5,7567.5,150,-150,-50,1,0,0,217.94494717703367,8.65
-2695,-1305,7565,150,-150,-50,1,0,0,217.94494717703367,8.700000000000001
-2687.5,-1312.5,7562.5,150,-150,-50,1,0,0,217.94494717703367,8.75
-2680,-1320,7560,150,-150,-50,1,0,0,217.94494717703367,8.8
-2672.5,-1327.5,7557.5,150,-150,-50,1,0,0,217.94494717703367,8.85
-2665,-1335,7555,150,-150,-50,1,0,0,217.94494717703367,8.9
-2657.5,-1342.5,7552.5,150,-150,-50,1,0,0,217.94494717703367,8.950000000000001
-2650,-1350,7550,150,-150,-50,1,0,0,217.94494717703367,9
-2642.5,-1357.5,7547.5,150,-150,-50,1,0,0,217.94494717703367,9.05
-2635,-1365,7545,150,-150,-50,1,0,0,217.94494717703367,9.1
-2627.5,-1372.5,7542.5,150,-150,-50,1,0,0,217.94494717703367,9.15
-2620,-1380,7540,150,-150,-50,1,0,0,217.94494717703367,9.200000000000001
-2612.5,-1387.5,7537.5,150,-150,-50,1,0,0,217.94494717703367,9.25
-2605,-1395,7535,150,-150,-50,1,0,0,217.94494717703367,9.3
-2597.5,-1402.5,7532.5,150,-150,-50,1,0,0,217.94494717703367,9.35
-2590,-1410,7530,150,-150,-50,1,0,0,217.94494717703367,9.4
-2582.5,-1417.5,7527.5,150,-150,-50,1,0,0,217.94494717703367,9.450000000000001
-2575,-1425,7525,150,-150,-50,1,0,0,217.94494717703367,9.5
-2567.5,-1432.5,7522.5,150,-150,-50,1,0,0,217.94494717703367,9.55
-2560,-1440,7520,150,-150,-50,1,0,0,217.94494717703367,9.600000000000001
-2552.5,-1447.5,7517.5,150,-150,-50,1,0,0,217.94494717703367,9.65
-2545,-1455,7515,150,-150,-50,1,0,0,217.94494717703367,9.700000000000001
-2537.5,-1462.5,7512.5,150,-150,-50,1,0,0,217.94494717703367,9.75
-2530,-1470,7510,150,-150,-50,1,0,0,217.94494717703367,9.8
-2522.5,-1477.5,7507.5,150,-150,-50,1,0,0,217.94494717703367,9.850000000000001
-2515,-1485,7505,150,-150,-50,1,0,0,217.94494717703367,9.9
-2507.5,-1492.5,7502.5,150,-150,-50,1,0,0,217.94494717703367,9.950000000000001
-2500,-1500,7500,150,-150,-50,1,0,0,217.94494717703367,10
-2492.5,-1507.5,7497.5,150,-150,-50,1,0,0,217.94494717703367,10.05
-2485,-1515,7495,150,-150,-50,1,0,0,217.94494717703367,10.100000000000001
-2477.5,-1522.5,7492.5,150,-150,-50,1,0,0,217.94494717703367,10.15
-2470,-1530,7490,150,-150,-50,1,0,0,217.94494717703367,10.200000000000001
-2462.5,-1537.5,7487.5,150,-150,-50,1,0,0,217.94494717703367,10.25
-2455,-1545,7485,150,-150,-50,1,0,0,217.94494717703367,10.3
-2447.5,-1552.5,7482.5,150,-150,-50,1,0,0,217.94494717703367,10.350000000000001
-2440,-1560,7480,150,-150,-50,1,0,0,217.94494717703367,10.4
-2432.5,-1567.5,7477.5,150,-150,-50,1,0,0,217.94494717703367,10.450000000000001
-2425,-1575,7475,150,-150,-50,1,0,0,217.94494717703367,10.5
-2417.5,-1582.5,7472.5,150,-150,-50,1,0,0,217.94494717703367,10.55
-2410,-1590,7470,150,-150,-50,1,0,0,217.94494717703367,10.600000000000001
-2402.5,-1597.5,7467.5,150,-150,-50,1,0,0,217.94494717703367,10.65
-2395,-1605,7465,150,-150,-50,1,0,0,217.94494717703367,10.700000000000001
-2387.5,-1612.5,7462.5,150,-150,-50,1,0,0,217.94494717703367,10.75
-2380,-1620,7460,150,-150,-50,1,0,0,217.94494717703367,10.8
-2372.5,-1627.5,7457.5,150,-150,-50,1,0,0,217.94494717703367,10.850000000000001
-2365,-1635,7455,150,-150,-50,1,0,0,217.94494717703367,10.9
-2357.5,-1642.5,7452.5,150,-150,-50,1,0,0,217.94494717703367,10.950000000000001
-2350,-1650,7450,150,-150,-50,1,0,0,217.94494717703367,11
-2342.5,-1657.5,7447.5,150,-150,-50,1,0,0,217.94494717703367,11.05
-2335,-1665,7445,150,-150,-50,1,0,0,217.94494717703367,11.100000000000001
-2327.5,-1672.5,7442.5,150,-150,-50,1,0,0,217.94494717703367,11.15
-2320,-1680,7440,150,-150,-50,1,0,0,217.94494717703367,11.200000000000001
-2312.5,-1687.5,7437.5,150,-150,-50,1,0,0,217.94494717703367,11.25
-2305,-1695,7435,150,-150,-50,1,0,0,217.94494717703367,11.3
-2297.5,-1702.5,7432.5,150,-150,-50,1,0,0,217.94494717703367,11.350000000000001
-2290,-1710,7430,150,-150,-50,1,0,0,217.94494717703367,11.4
-2282.5,-1717.5,7427.5,150,-150,-50,1,0,0,217.94494717703367,11.450000000000001
-2275,-1725,7425,150,-150,-50,1,0,0,217.94494717703367,11.5
-2267.5,-1732.5,7422.5,150,-150,-50,1,0,0,217.94494717703367,11.55
-2260,-1740,7420,150,-150,-50,1,0,0,217.94494717703367,11.600000000000001
-2252.5,-1747.5,7417.5,150,-150,-50,1,0,0,217.94494717703367,11.65
-2245,-1755,7415,150,-150,-50,1,0,0,217.94494717703367,11.700000000000001
-2237.5,-1762.5,7412.5,150,-150,-50,1,0,0,217.94494717703367,11.75
-2230,-1770,7410,150,-150,-50,1,0,0,217.94494717703367,11.8
-2222.5,-1777.5,7407.5,150,-150,-50,1,0,0,217.94494717703367,11.850000000000001
-2215,-1785,7405,150,-150,-50,1,0,0,217.94494717703367,11.9
